created_at,closed_at,summary,address
2017-01-31T07:19:55-05:00,,Sanitation Department,"700-716 Charles Court South Saint Petersburg, Florida"
2017-01-31T07:03:26-05:00,,Sanitation Department,"470 3rd Street South Saint Petersburg, Florida"
2017-01-31T06:59:08-05:00,,Potholes,"117 Harper Creek Drive Battle Creek, Michigan"
2017-01-31T06:06:00-05:00,,Other Litter/Beautification Concerns,"2795-2881 Us-701 Conway, SC 29526, USA"
2017-01-31T04:41:21-05:00,,Litter in Parks,Mandela Parkway (Park) 
2017-01-31T04:41:10-05:00,,"Illegal Dumping - debris, appliances, etc.",5500 Broadway Ter 
2017-01-31T04:35:08-05:00,,Litter in Parks,Shepherd Canyon Park 
2017-01-31T03:31:00-05:00,,Litter - Street Litter Container - Overflowing/Mis,11th St & Webster St 
2017-01-31T03:29:24-05:00,,CWA Meter Testing,Mauritius
2017-01-31T03:29:19-05:00,,Homeless Encampment,San Leandro St & Hegenberger Rd 
2017-01-31T03:05:41-05:00,,"Illegal Dumping - debris, appliances, etc.",5500 Broadway Ter 
2017-01-31T01:18:59-05:00,,Sidewalk issue,"Kilburn Park Circle Ann Arbor, Michigan"
2017-01-31T01:10:24-05:00,,Signal repair,"Green Road Ann Arbor, Michigan"
2017-01-31T01:00:13-05:00,,Signal repair,"Green Road Ann Arbor, Michigan"
2017-01-31T00:55:16-05:00,,Street Maintenance,"5th Street Stamford, Connecticut"
2017-01-31T00:52:36-05:00,,Sidewalk issue,"3398 Green Road Ann Arbor, Michigan"
2017-01-30T23:58:52-05:00,,ROUNDABOUT Alta & Allen Roads,"North Allen Road Peoria, Illinois"
2017-01-30T23:50:37-05:00,,Cleveland between University and I-94.,"530-540 Cleveland Avenue North Saint Paul, Minnesota"
2017-01-30T23:43:12-05:00,,Potholes from between como and western on minnehaha,"380-388 West Minnehaha Avenue Saint Paul, Minnesota"
2017-01-30T23:40:20-05:00,,Trash all over yard empty house ,"6375 Treadway Trail Memphis, TN 38141, USA"
2017-01-30T23:06:00-05:00,,Building Violation,"2908 S Lowe Ave CHICAGO, IL 60616"
2017-01-30T22:43:20-05:00,,Several traffic jam,"1 80 Tooele, Utah"
2017-01-30T22:14:46-05:00,,Graffiti,"2780 S Reservoir Street Pomona, CA"
2017-01-30T22:10:18-05:00,2017-02-01T14:18:59-05:00,Trees,"2218-2280 Quail Place Drive Missouri City, Texas"
2017-01-30T21:58:02-05:00,,Rough Road,"3500 E Creek Rd Salt Lake City, Utah"
2017-01-30T21:25:31-05:00,,Traffic Light Timing ,"1-23 Shoemaker Lane Agawam, Massachusetts"
2017-01-30T21:13:02-05:00,,Large dog feces ,"5896 ? S Datura St Littleton, Colorado"
